text,label,source
خلال اليوم ما عندي طاقة حتى للأشياء البسيطة وودي أختفي عن كل شيء اليوم.,تعبان,synthetic_tired
جو البيت مرتاح نفسيًا وحسّيت أني أتنفس براحة.,هادئ,synthetic_calm
Ibrahim88 و عَلكُم سلام!,سعيد,emotional_tone
: حينما يجتمع الكبار تخرس السنه الجبناء ويدفن رؤوسهم في التراب حفظ الله قادتنا بعينه التي لا تنام  ⁧ الامارات⁩ ⁦ UAE⁩,سعيد,emotional_tone
من بدري أحس أن جسمي ثقيل وأحتاج أوقف كل شيء بس عشان أتنفس.,تعبان,synthetic_tired
azzameg !! انت شربت كل البريل اللي في التلاجه ..وسبت المياه 😀,متفاجئ,emotional_tone
Azim   الحمدلله الذي كشف عن مصر الغمه وانقذها منذ هذه العصابات,سعيد,emotional_tone
يزم الشواب خربو اسامي كل الاكلات,غاضب,emotional_tone
اليوم كان رايق بدون إزعاج وما كان في شيء يضايقني.,هادئ,synthetic_calm
شو مهضوم !!!! رهيب,متفاجئ,emotional_tone
ربنا يسترها عليه انا خايف عليه والله,متوتر,emotional_tone
خلال اليوم أحس أن جسمي ثقيل وأحتاج أرتاح شوي.,تعبان,synthetic_tired
اي حاجه حلوه في عينك اكرهيها فورا✋,غاضب,emotional_tone
هاليومين ما فيه توتر أو قلق بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
لن ننسي سنجار ندعِ الله ان يرحم الايزيد والصب من مات منهم ومن قُتل ومن اغتصب واللهم فك اسرهم من الدواعش والطف بهم,غاضب,emotional_tone
emam:   ده كابتن شوخير....ده تمامه ياخد بالجزمه هو وابو صبغه لان الاشكال القذره دي هي اللي افسدت الحياه في مصر ومعاه…,غاضب,emotional_tone
صباحي كان رايق بدون إزعاج وهذا النوع من الأيام يعجبني.,هادئ,synthetic_calm
بسبب الضغط مرهق جسديًا ونفسيًا وحاس أن النوم هو الحل الآن.,تعبان,synthetic_tired
: اسعار اي حاجه بالجنيه المصري بقت مخيفه، يعني مش مصدق ان في موبايل بقي بيتباع ب 20000 جنيه عادي كده! وعربيه فيرنا ب 200000!…,متوتر,emotional_tone
من بدري أشعر بإجهاد من كل شيء وأتمنى ألقى وقت أريح فيه بالي.,تعبان,synthetic_tired
اسوء حاجه في تنس الاوليمبياد ان الجماهير مش جماهير تنس اصلاً فمش فاهمين انهم لازم يسكتوا عشان الناس تلعب 😒😒,حزين,emotional_tone
اليوم كان بسيط وبدون ضغوط وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
alshmiri:  ريال مدريد اتليتكو مدريد كريستيانو وزيزو ،متعه كره القدم وشموخها وحكايه تروي للاجيال الكرويه الي الابد ????.,سعيد,emotional_tone
اليوم كان رايق بدون إزعاج والحمدلله على هالنعمة.,هادئ,synthetic_calm
جو البيت كان بسيط وبدون ضغوط وهذا النوع من الأيام يعجبني.,هادئ,synthetic_calm
لما نلاقي واحد زي ابراهيم عيسي مخصص اكتر من حلقه لتسفيه وتتفيه ما حققناه في الاوليمبياد، عن الاحباط اتحدث,حزين,emotional_tone
صباحي مرتاح نفسيًا بدون أي دراما أو مشاكل.,هادئ,synthetic_calm
: تمت محاكمه من تحدث عن الفساد  متي نحاكم الفاسدين ومتي نتخذ خطوات ايجابيه للقضاء علي الفساد الذي استشري في مؤسسات... ht…,غاضب,emotional_tone
الامير منصور بن ناصر بن فهد ال سعود انت تشتكي من خلل بالسياره ورفست النعمه وحطيت برسيم ، وغيرك يظل دهر عشان يجمع قيمه سيارتك ويوكل عياله,غاضب,emotional_tone
وقتي الحالي كان رايق بدون إزعاج وحسّيت أن قلبي مطمّن.,هادئ,synthetic_calm
بتفرج علي ماتشات كره الطائره الشاطئيه في الاوليمبياد صحيح اللاعبات بزازها صغيره :( بس شويه طياز ماركه اوعي زوبرك,متفاجئ,emotional_tone
برج العرب صحرا اللي حواليه معرفش زرعوا الصحوا دي امتي,متفاجئ,emotional_tone
: جداً ان تجد نفسك مرغماً علي تجاهل اشخاص كانوا في يوم مضي اجمل اهتماماتك,حزين,emotional_tone
: علي الجفري يضحك علي اتباعه فيخلط بين حب الهدايه للبشر وبين حب اعداء الله من اليهود والوثنيين.فيؤكد حبه لليهود قتله اﻻنبياء  سفيه…,غاضب,emotional_tone
لا حلو الافتتاح الصراحه 👏 تخيل لو اتعمل في مصر مثلا الاوليمبياد 😂😂😂😂,سعيد,emotional_tone
حاليًا مليان هدوء وهذا النوع من الأيام يعجبني.,هادئ,synthetic_calm
:         altoaimi   مشكوره ام عبدالله,سعيد,emotional_tone
اليوم كامل أحس أني مستنزف بالكامل وأحتاج أرتاح شوي.,تعبان,synthetic_tired
كل ما اشوف الاوليمبياد اتاكد ان الرياضه دي اجمل حاجه في الدنيا والله,سعيد,emotional_tone
افتتاح الاوليمبياد واضح فيه المجهود و الخبره التنظيميه و المنظر الجوي شي يفتح النفس 🇧🇷💙,سعيد,emotional_tone
هاليومين ما فيه توتر أو قلق والحمدلله على هالنعمة.,هادئ,synthetic_calm
خايفه اعمل حاجه وفي الاخر اندم عليها ياااا رب 😔😓,متوتر,emotional_tone
المصيبه لو ديل بوترو بعد المستوي اللي عمله طوال الاوليمبياد ييجي اندي موراي يبوظ اللي عمله 😕,متوتر,emotional_tone
الحراميه في البرازيل دا موسم السرقه بتاعهم دلوقتي  مافيش عدل وبيتداس ع الغلابه هناك عشان الاوليمبياد تطلع باحلي صوره بس فيه قذاره فالموضوع,حزين,emotional_tone
